,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit,query_genre
826,PING PONG,1+1=1,https://open.spotify.com/album/3LmraKOB9oNrXrifwrYePf,HyunA&DAWN,66,2021-09-09,https://open.spotify.com/track/0Z99Xe1lGBmq60RwJ5YU18,158253,False,k-pop
827,魔法が解けたら,魔法が解けたら,https://open.spotify.com/album/0oyywfjvWOi80lBKEM8GFa,Saucy Dog,66,2023-06-28,https://open.spotify.com/track/0fXzoBYLjGGzsKTO2IpoFQ,240880,False,j-pop
828,BANANA SHAKE (SPED UP),BANANA SHAKE (SPED UP),https://open.spotify.com/album/1vRxza3P5wbnqfieA27DAn,HUS,66,2023-02-16,https://open.spotify.com/track/6qXGfKR1JHtH18PbT15k6F,279666,False,k-pop
829,Birthday,‘The ReVe Festival 2022 - Birthday’,https://open.spotify.com/album/58OR7UoaJkJzqeQGClHzh1,Red Velvet,66,2022-11-28,https://open.spotify.com/track/4LJgBT9yo0beHlaBesCFEv,216440,False,k-pop
830,Adore U,SEVENTEEN 1st Mini Album ’17 CARAT’,https://open.spotify.com/album/0H2K2JrzdvJcxBEPyxC2sl,SEVENTEEN,66,2015-05-29,https://open.spotify.com/track/6wtgR5ZVbOZPHIeMNQwugp,186649,False,k-pop
831,灯火,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,66,2020-05-27,https://open.spotify.com/track/1JnvAinIjLd8WrEECx9neZ,178892,False,j-pop
832,Hope Not,Kill This Love,https://open.spotify.com/album/3qw2vm3uqKT3EIg95wbg83,BLACKPINK,66,2019-04-05,https://open.spotify.com/track/29fsVDL9T36N0tyD7ByLdI,191030,False,k-pop
833,Baby Don’t Stop,NCT 2018 EMPATHY,https://open.spotify.com/album/3KAJvo62RNQEtXwIyB5rzX,NCT,66,2018-03-14,https://open.spotify.com/track/1EYSS9Lp7a9f20C3FaOVgI,183019,False,k-pop
834,REALLY REALLY,FATE NUMBER FOR,https://open.spotify.com/album/7aUSYOs4iSl0qx28lelrs0,WINNER,66,2017-04-04,https://open.spotify.com/track/4iJyTp1KwCeBKhf7h0SwsD,203056,False,k-pop
835,Welcome To MY World (feat. nævis),MY WORLD - The 3rd Mini Album,https://open.spotify.com/album/69xF8jTd0c4Zoo7DT3Rwrn,aespa,66,2023-05-08,https://open.spotify.com/track/3q5qpprtugUIEPExuI7tRD,206920,False,k-pop
836,プロローグ,プロローグ,https://open.spotify.com/album/3MOKzDaMiqSc04I04oiELA,Uru,66,2018-12-05,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6,302346,False,j-pop
837,BOSS,NCT 2018 EMPATHY,https://open.spotify.com/album/3KAJvo62RNQEtXwIyB5rzX,NCT,66,2018-03-14,https://open.spotify.com/track/0ErzcmZ2gIwX7X0xSMQPix,210641,False,k-pop
838,ばかまじめ,アンサンブル・プレイ,https://open.spotify.com/album/0umDAVn3Zr250pR0NA9FFI,Creepy Nuts,66,2022-09-07,https://open.spotify.com/track/7FiTlLKW0Knj8rm7lMa9N7,172026,False,j-pop
839,BYE BYE,‘The ReVe Festival 2022 - Birthday’,https://open.spotify.com/album/58OR7UoaJkJzqeQGClHzh1,Red Velvet,66,2022-11-28,https://open.spotify.com/track/4OSVR8gq2l3ceJiXNR7iiM,196079,False,k-pop
840,Thursday's Child Has Far To Go,minisode 2: Thursday's Child,https://open.spotify.com/album/1o8jYrnyZueTPIdhlHuTc8,TOMORROW X TOGETHER,66,2022-05-09,https://open.spotify.com/track/04CHEoMbrLOiX8co3EG5dO,211399,False,k-pop
841,life hack,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,66,2020-05-27,https://open.spotify.com/track/0NlM3asfhPzhDwm5frXquS,226443,False,j-pop
842,JUICE,HARD - The 8th Album,https://open.spotify.com/album/3JZJEeWr3LShx36FYbMc5E,SHINee,66,2023-06-26,https://open.spotify.com/track/2ka8U0A2e93hBFA43mbgfy,197520,False,k-pop
843,儚くない,儚くない,https://open.spotify.com/album/5EEjxpKogAFBEgzf8Kjlv2,SUPER BEAVER,66,2023-06-17,https://open.spotify.com/track/4oGe0AT9wDhwHfDTifSw0e,310560,False,j-pop
844,Ring Ding Dong,"2009, Year Of Us - The Third Mini Album",https://open.spotify.com/album/5AH7uBaxp7ojNCvImOeZvC,SHINee,66,2009-10-19,https://open.spotify.com/track/4vLqN0bIxIQjlet2mIMBnx,233280,False,k-pop
